"Mfr","Model","MfrName","ModelName"
"VID_04cb","PID_013c","Fuji Photo Film Co., Ltd","FinePix S3000 Zoom (DSC)"
"VID_04cb","PID_013d","Fuji Photo Film Co., Ltd","FinePix S3000 Zoom (PC CAM)"
"VID_04cb","PID_013e","Fuji Photo Film Co., Ltd","FinePix F420 Zoom (DSC)"
"VID_04cb","PID_013f","Fuji Photo Film Co., Ltd","FinePix F420 Zoom (PC CAM)"
"VID_04cb","PID_0142","Fuji Photo Film Co., Ltd","FinePix S7000 Zoom (PTP)"
"VID_04cb","PID_0148","Fuji Photo Film Co., Ltd","FinePix A330 Zoom (DSC)"
"VID_04cb","PID_0149","Fuji Photo Film Co., Ltd","FinePix A330 Zoom (UVC)"
"VID_04cb","PID_014a","Fuji Photo Film Co., Ltd","FinePix A330 Zoom (PTP)"
"VID_04cb","PID_014b","Fuji Photo Film Co., Ltd","FinePix A340 Zoom (DSC)"
"VID_04cb","PID_014c","Fuji Photo Film Co., Ltd","FinePix A340 Zoom (UVC)"
"VID_04cb","PID_0159","Fuji Photo Film Co., Ltd","FinePix F710 Zoom (DSC)"
"VID_04cb","PID_0165","Fuji Photo Film Co., Ltd","FinePix S3500 Zoom (DSC)"
"VID_04cb","PID_0168","Fuji Photo Film Co., Ltd","FinePix E500 Zoom (DSC)"
"VID_04cb","PID_0169","Fuji Photo Film Co., Ltd","FinePix E500 Zoom (UVC)"
"VID_04cb","PID_016b","Fuji Photo Film Co., Ltd","FinePix E510 Zoom (DSC)"
"VID_04cb","PID_016c","Fuji Photo Film Co., Ltd","FinePix E510 Zoom (PC CAM)"
"VID_04cb","PID_016e","Fuji Photo Film Co., Ltd","FinePix S5500 Zoom (DSC)"
"VID_04cb","PID_016f","Fuji Photo Film Co., Ltd","FinePix S5500 Zoom (UVC)"
"VID_04cb","PID_0171","Fuji Photo Film Co., Ltd","FinePix E550 Zoom (DSC)"
"VID_04cb","PID_0172","Fuji Photo Film Co., Ltd","FinePix E550 Zoom (UVC)"
"VID_04cb","PID_0177","Fuji Photo Film Co., Ltd","FinePix F10 (DSC)"
"VID_04cb","PID_0179","Fuji Photo Film Co., Ltd","Finepix F10 (PTP)"
"VID_04cb","PID_0186","Fuji Photo Film Co., Ltd","FinePix S5200/S5600 Zoom (DSC)"
"VID_04cb","PID_0188","Fuji Photo Film Co., Ltd","FinePix S5200/S5600 Zoom (PTP)"
"VID_04cb","PID_018e","Fuji Photo Film Co., Ltd","FinePix S9500 Zoom (DSC)"
"VID_04cb","PID_018f","Fuji Photo Film Co., Ltd","FinePix S9500 Zoom (PTP)"
"VID_04cb","PID_0192","Fuji Photo Film Co., Ltd","FinePix E900 Zoom (DSC)"
"VID_04cb","PID_0193","Fuji Photo Film Co., Ltd","FinePix E900 Zoom (PTP)"
"VID_04cb","PID_019b","Fuji Photo Film Co., Ltd","FinePix F30 (PTP)"
"VID_04cb","PID_01af","Fuji Photo Film Co., Ltd","FinePix A700 (PTP)"
"VID_04cb","PID_01bf","Fuji Photo Film Co., Ltd","FinePix F6000fd/S6500fd Zoom (PTP)"
"VID_04cb","PID_01c0","Fuji Photo Film Co., Ltd","FinePix F20 (PTP)"
"VID_04cb","PID_01c1","Fuji Photo Film Co., Ltd","FinePix F31fd (PTP)"
"VID_04cb","PID_01c4","Fuji Photo Film Co., Ltd","FinePix S5700 Zoom (PTP)"
"VID_04cb","PID_01c5","Fuji Photo Film Co., Ltd","FinePix F40fd (PTP)"
"VID_04cb","PID_01c6","Fuji Photo Film Co., Ltd","FinePix A820 Zoom (PTP)"
"VID_04cb","PID_01d2","Fuji Photo Film Co., Ltd","FinePix A800 Zoom (PTP)"
"VID_04cb","PID_01d3","Fuji Photo Film Co., Ltd","FinePix A920 (PTP)"
"VID_04cb","PID_01d4","Fuji Photo Film Co., Ltd","FinePix F50fd (PTP)"
"VID_04cb","PID_01d5","Fuji Photo Film Co., Ltd","FinePix F47 (PTP)"
"VID_04cb","PID_01f7","Fuji Photo Film Co., Ltd","FinePix J250 (PTP)"
"VID_04cb","PID_01fd","Fuji Photo Film Co., Ltd","A160"
"VID_04cb","PID_023e","Fuji Photo Film Co., Ltd","FinePix AX300"
"VID_04cb","PID_0240","Fuji Photo Film Co., Ltd","FinePix S2950 Digital Camera"
"VID_04cb","PID_0241","Fuji Photo Film Co., Ltd","FinePix S3200 Digital Camera"
"VID_04cb","PID_0278","Fuji Photo Film Co., Ltd","FinePix JV300"
"VID_04cc","","ST-Ericsson",""
"VID_04cc","PID_1122","ST-Ericsson","Hub"
"VID_04cc","PID_1520","ST-Ericsson","USB 2.0 Hub (Avocent KVM)"
"VID_04cc","PID_1521","ST-Ericsson","USB 2.0 Hub"
"VID_04cc","PID_1a62","ST-Ericsson","GW Instek GSP-830 Spectrum Analyzer (HID)"
"VID_04cc","PID_2323","ST-Ericsson","Ux500 serial debug port"
"VID_04cc","PID_2533","ST-Ericsson","NFC device (PN533)"
"VID_04cc","PID_8116","ST-Ericsson","Camera"
"VID_04cd","","Tatung Co. Of America",""
"VID_04ce","","ScanLogic Corp.",""
"VID_04ce","PID_0002","ScanLogic Corp.","SL11R-IDE IDE Bridge"
"VID_04ce","PID_0100","ScanLogic Corp.","USB2PRN Printer Class"
"VID_04ce","PID_0300","ScanLogic Corp.","Phantom 336CX - C3 scanner"
"VID_04ce","PID_04ce","ScanLogic Corp.","SL11DEMO, VID: 0x4ce, PID: 0x4ce"
"VID_04ce","PID_07d1","ScanLogic Corp.","SL11R, VID: 0x4ce, PID: 0x07D1"
"VID_04cf","","Myson Century, Inc.",""
"VID_04cf","PID_0022","Myson Century, Inc.","OCZ Alchemy Series Elixir II Keyboard"
"VID_04cf","PID_0800","Myson Century, Inc.","MTP800 Mass Storage Device"
"VID_04cf","PID_8810","Myson Century, Inc.","CS8810 Mass Storage Device"
"VID_04cf","PID_8811","Myson Century, Inc.","CS8811 Mass Storage Device"
"VID_04cf","PID_8813","Myson Century, Inc.","CS8813 Mass Storage Device"
"VID_04cf","PID_8818","Myson Century, Inc.","USB2.0 to ATAPI Bridge Controller"
"VID_04cf","PID_8819","Myson Century, Inc.","USB 2.0 SD/MMC Reader"
"VID_04cf","PID_9920","Myson Century, Inc.","CS8819A2-114 Mass Storage Device"
"VID_04d0","","Digi International",""
"VID_04d1","","ITT Canon",""
"VID_04d2","","Altec Lansing Technologies",""
"VID_04d2","PID_0070","Altec Lansing Technologies","ADA70 Speakers"
"VID_04d2","PID_0305","Altec Lansing Technologies","Non-Compliant Audio Device"
"VID_04d2","PID_0311","Altec Lansing Technologies","ADA-310 Speakers"
"VID_04d2","PID_2060","Altec Lansing Technologies","Claritel-i750 - vp"
"VID_04d2","PID_ff05","Altec Lansing Technologies","ADA-305 Speakers"
"VID_04d2","PID_ff47","Altec Lansing Technologies","Lansing HID Audio Controls"
"VID_04d2","PID_ff49","Altec Lansing Technologies","Lansing HID Audio Controls"
"VID_04d3","","VidUS, Inc.",""
"VID_04d4","","LSI Logic, Inc.",""
"VID_04d5","","Forte Technologies, Inc.",""
"VID_04d6","","Mentor Graphics",""
"VID_04d7","","Oki Semiconductor",""
"VID_04d7","PID_1be4","Oki Semiconductor","Bluetooth Device"
"VID_04d8","","Microchip Technology, Inc.",""
"VID_04d8","PID_0002","Microchip Technology, Inc.","PicoLCD 20x2"
"VID_04d8","PID_0003","Microchip Technology, Inc.","PICkit 2 Microcontroller Programmer"
"VID_04d8","PID_000a","Microchip Technology, Inc.","CDC RS-232 Emulation Demo"
"VID_04d8","PID_000b","Microchip Technology, Inc.","PIC18F2550 (32K Flashable 10 Channel, 10 Bit A/D USB Microcontroller)"
"VID_04d8","PID_0032","Microchip Technology, Inc.","PICkit1"
"VID_04d8","PID_0033","Microchip Technology, Inc.","PICkit2"
"VID_04d8","PID_0036","Microchip Technology, Inc.","PICkit Serial Analyzer"
"VID_04d8","PID_00e0","Microchip Technology, Inc.","PIC32 Starter Board"
"VID_04d8","PID_0a04","Microchip Technology, Inc.","AGP LIN Serial Analyzer"
"VID_04d8","PID_8000","Microchip Technology, Inc.","In-Circuit Debugger"
"VID_04d8","PID_8001","Microchip Technology, Inc.","ICD2 in-circuit debugger"
"VID_04d8","PID_8101","Microchip Technology, Inc.","PIC24F Starter Kit"
"VID_04d8","PID_8107","Microchip Technology, Inc.","Microstick II"
"VID_04d8","PID_900a","Microchip Technology, Inc.","PICkit3"
"VID_04d8","PID_c001","Microchip Technology, Inc.","PicoLCD 20x4"
"VID_04d8","PID_f8da","Microchip Technology, Inc.","Hughski Ltd. ColorHug"
"VID_04d8","PID_faff","Microchip Technology, Inc.","Dangerous Prototypes BusPirate v4 Bootloader mode"
"VID_04d8","PID_fb00","Microchip Technology, Inc.","Dangerous Prototypes BusPirate v4"
"VID_04d8","PID_fbb2","Microchip Technology, Inc.","GCUSB-nStep stepper motor controller"
"VID_04d8","PID_fbba","Microchip Technology, Inc.","DiscFerret Magnetic Disc Analyser (bootloader mode)"
"VID_04d8","PID_fbbb","Microchip Technology, Inc.","DiscFerret Magnetic Disc Analyser (active mode)"
"VID_04d8","PID_fc92","Microchip Technology, Inc.","Open Bench Logic Sniffer"
"VID_04d8","PID_ffef","Microchip Technology, Inc.","PICoPLC [APStech]"
"VID_04d9","","Holtek Semiconductor, Inc.",""
"VID_04d9","PID_0022","Holtek Semiconductor, Inc.","Portable Keyboard"
"VID_04d9","PID_048e","Holtek Semiconductor, Inc.","Optical Mouse"
"VID_04d9","PID_0499","Holtek Semiconductor, Inc.","Optical Mouse"
"VID_04d9","PID_1203","Holtek Semiconductor, Inc.","Keyboard"
"VID_04d9","PID_1400","Holtek Semiconductor, Inc.","PS/2 keyboard + mouse controller"
"VID_04d9","PID_1503","Holtek Semiconductor, Inc.","Shortboard Lefty"
"VID_04d9","PID_1603","Holtek Semiconductor, Inc.","Keyboard"
"VID_04d9","PID_2013","Holtek Semiconductor, Inc.","Keyboard [Das Keyboard]"
"VID_04d9","PID_2221","Holtek Semiconductor, Inc.","Keyboard"
"VID_04d9","PID_2323","Holtek Semiconductor, Inc.","Keyboard"
"VID_04d9","PID_2832","Holtek Semiconductor, Inc.","1channel Telephone line recorder"
"VID_04d9","PID_a055","Holtek Semiconductor, Inc.","Keyboard"
"VID_04da","","Panasonic (Matsushita)",""
"VID_04da","PID_0901","Panasonic (Matsushita)","LS-120 Camera"
"VID_04da","PID_0912","Panasonic (Matsushita)","SDR-S10"
"VID_04da","PID_0b01","Panasonic (Matsushita)","CD-R/RW Drive"
"VID_04da","PID_0b03","Panasonic (Matsushita)","SuperDisk 240MB"
"VID_04da","PID_0d01","Panasonic (Matsushita)","CD-R Drive KXL-840AN"
"VID_04da","PID_0d09","Panasonic (Matsushita)","CD-R Drive KXL-RW32AN"
"VID_04da","PID_0d0a","Panasonic (Matsushita)","CD-R Drive KXL-CB20AN"
"VID_04da","PID_0d0d","Panasonic (Matsushita)","CDRCB03"
"VID_04da","PID_0d0e","Panasonic (Matsushita)","DVD-ROM & CD-R/RW"
"VID_04da","PID_0f40","Panasonic (Matsushita)","Printer"
"VID_04da","PID_104d","Panasonic (Matsushita)","Elite Panaboard UB-T880 (HID)"
"VID_04da","PID_104e","Panasonic (Matsushita)","Elite Panaboard Pen Adaptor (HID)"
"VID_04da","PID_1500","Panasonic (Matsushita)","MFSUSB Driver"
"VID_04da","PID_1800","Panasonic (Matsushita)","DY-WL10 802.11abgn Adapter [Broadcom BCM4323]"
"VID_04da","PID_1b00","Panasonic (Matsushita)","MultiMediaCard"
"VID_04da","PID_2121","Panasonic (Matsushita)","EB-VS6"
"VID_04da","PID_2316","Panasonic (Matsushita)","DVC Mass Storage Device"
"VID_04da","PID_2317","Panasonic (Matsushita)","DVC USB-SERIAL Driver for WinXP"
"VID_04da","PID_2318","Panasonic (Matsushita)","NV-GS11/230/250 (webcam mode)"
"VID_04da","PID_2319","Panasonic (Matsushita)","NV-GS15 (webcam mode)"
"VID_04da","PID_231a","Panasonic (Matsushita)","NV-GS11/230/250 (DV mode)"
"VID_04da","PID_231d","Panasonic (Matsushita)","DVC Web Camera Device"
"VID_04da","PID_231e","Panasonic (Matsushita)","DVC DV Stream Device"
"VID_04da","PID_2372","Panasonic (Matsushita)","Lumix Camera (Storage mode)"
"VID_04da","PID_2374","Panasonic (Matsushita)","Lumix Camera (PTP mode)"
"VID_04da","PID_2451","Panasonic (Matsushita)","HDC-SD9"
"VID_04da","PID_2497","Panasonic (Matsushita)","HDC-TM700"
"VID_04da","PID_250c","Panasonic (Matsushita)","Gobi Wireless Modem (QDL mode)"
"VID_04da","PID_250d","Panasonic (Matsushita)","Gobi Wireless Modem"
"VID_04da","PID_3904","Panasonic (Matsushita)","N5HBZ0000055 802.11abgn Wireless Adapter [Atheros AR7010+AR9280]"
"VID_04da","PID_3c04","Panasonic (Matsushita)","JT-P100MR-20 [ePassport Reader]"
"VID_04db","","Hypertec Pty, Ltd",""
"VID_04dc","","Huan Hsin Holdings, Ltd",""
"VID_04dd","","Sharp Corp.",""
"VID_04dd","PID_13a6","Sharp Corp.","MFC2000"
"VID_04dd","PID_6006","Sharp Corp.","AL-1216"
"VID_04dd","PID_6007","Sharp Corp.","AL-1045"
"VID_04dd","PID_6008","Sharp Corp.","AL-1255"
"VID_04dd","PID_6009","Sharp Corp.","AL-1530CS"
"VID_04dd","PID_600a","Sharp Corp.","AL-1540CS"
"VID_04dd","PID_600b","Sharp Corp.","AL-1456"
"VID_04dd","PID_600c","Sharp Corp.","AL-1555"
"VID_04dd","PID_600d","Sharp Corp.","AL-1225"
"VID_04dd","PID_600e","Sharp Corp.","AL-1551CS"
"VID_04dd","PID_600f","Sharp Corp.","AR-122E"
"VID_04dd","PID_6010","Sharp Corp.","AR-152E"
"VID_04dd","PID_6011","Sharp Corp.","AR-157E"
"VID_04dd","PID_6012","Sharp Corp.","SN-1045"
"VID_04dd","PID_6013","Sharp Corp.","SN-1255"
"VID_04dd","PID_6014","Sharp Corp.","SN-1456"
"VID_04dd","PID_6015","Sharp Corp.","SN-1555"
"VID_04dd","PID_6016","Sharp Corp.","AR-153E"
"VID_04dd","PID_6017","Sharp Corp.","AR-122E N"
"VID_04dd","PID_6018","Sharp Corp.","AR-153E N"
"VID_04dd","PID_6019","Sharp Corp.","AR-152E N"
"VID_04dd","PID_601a","Sharp Corp.","AR-157E N"
"VID_04dd","PID_601b","Sharp Corp.","AL-1217"
"VID_04dd","PID_601c","Sharp Corp.","AL-1226"
"VID_04dd","PID_601d","Sharp Corp.","AR-123E"
"VID_04dd","PID_6021","Sharp Corp.","IS01"
"VID_04dd","PID_7002","Sharp Corp.","DVC Ver.1.0"
"VID_04dd","PID_7004","Sharp Corp.","VE-CG40U Digital Still Camera"
"VID_04dd","PID_7005","Sharp Corp.","VE-CG30 Digital Still Camera"
"VID_04dd","PID_7007","Sharp Corp.","VL-Z7S Digital Camcorder"
"VID_04dd","PID_8004","Sharp Corp.","Zaurus SL-5000D/SL-5500 PDA"
"VID_04dd","PID_8005","Sharp Corp.","Zaurus A-300"
"VID_04dd","PID_8006","Sharp Corp.","Zaurus SL-B500/SL-5600 PDA"
"VID_04dd","PID_8007","Sharp Corp.","Zaurus C-700 PDA"
"VID_04dd","PID_9009","Sharp Corp.","AR-M160"
"VID_04dd","PID_9014","Sharp Corp.","IM-DR80 Portable NetMD Player"
"VID_04dd","PID_9031","Sharp Corp.","Zaurus C-750/C-760/C-860/SL-C3000 PDA"
"VID_04dd","PID_9032","Sharp Corp.","Zaurus SL-6000"
"VID_04dd","PID_903a","Sharp Corp.","GSM GPRS"
"VID_04dd","PID_9050","Sharp Corp.","Zaurus C-860 PDA"
"VID_04dd","PID_9056","Sharp Corp.","Viewcam Z"
"VID_04dd","PID_9073","Sharp Corp.","AM-900"
"VID_04dd","PID_9074","Sharp Corp.","GSM GPRS"
"VID_04dd","PID_90a9","Sharp Corp.","Sharp Composite"
"VID_04dd","PID_90d0","Sharp Corp.","USB-to-Serial Comm. Port"
"VID_04dd","PID_90f2","Sharp Corp.","Sharp 3G GSM USB Control"
"VID_04dd","PID_9120","Sharp Corp.","WS004SH"
"VID_04dd","PID_9122","Sharp Corp.","WS007SH"
"VID_04dd","PID_9123","Sharp Corp.","W-ZERO3 ES Smartphone"
"VID_04dd","PID_91a3","Sharp Corp.","922SH Internet Machine"
"VID_04dd","PID_939a","Sharp Corp.","IS03"
"VID_04de","","MindShare, Inc.",""
"VID_04df","","Interlink Electronics",""
"VID_04e1","","Iiyama North America, Inc.",""
"VID_04e1","PID_0201","Iiyama North America, Inc.","Monitor Hub"
"VID_04e2","","Exar Corp.",""
"VID_04e3","","Zilog, Inc.",""
"VID_04e4","","ACC Microelectronics",""
"VID_04e5","","Promise Technology",""
"VID_04e6","","SCM Microsystems, Inc.",""
"VID_04e6","PID_0001","SCM Microsystems, Inc.","E-USB ATA Bridge"
"VID_04e6","PID_0002","SCM Microsystems, Inc.","eUSCSI SCSI Bridge"
"VID_04e6","PID_0003","SCM Microsystems, Inc.","eUSB SmartMedia Card Reader"
"VID_04e6","PID_0005","SCM Microsystems, Inc.","eUSB SmartMedia/CompactFlash Card Reader"
"VID_04e6","PID_0006","SCM Microsystems, Inc.","eUSB SmartMedia Card Reader"
"VID_04e6","PID_0007","SCM Microsystems, Inc.","Hifd"
"VID_04e6","PID_0009","SCM Microsystems, Inc.","eUSB ATA/ATAPI Adapter"
"VID_04e6","PID_000a","SCM Microsystems, Inc.","eUSB CompactFlash Adapter"
"VID_04e6","PID_000b","SCM Microsystems, Inc.","eUSCSI Bridge"
"VID_04e6","PID_000c","SCM Microsystems, Inc.","eUSCSI Bridge"
"VID_04e6","PID_000d","SCM Microsystems, Inc.","Dazzle MS"
"VID_04e6","PID_0012","SCM Microsystems, Inc.","Dazzle SD/MMC"
"VID_04e6","PID_0101","SCM Microsystems, Inc.","eUSB ATA Bridge (Sony Spressa USB CDRW)"
"VID_04e6","PID_0311","SCM Microsystems, Inc.","Dazzle DM-CF"
"VID_04e6","PID_0312","SCM Microsystems, Inc.","Dazzle DM-SD/MMC"
"VID_04e6","PID_0313","SCM Microsystems, Inc.","Dazzle SM"
"VID_04e6","PID_0314","SCM Microsystems, Inc.","Dazzle MS"
"VID_04e6","PID_0322","SCM Microsystems, Inc.","e-Film Reader-5"
"VID_04e6","PID_0325","SCM Microsystems, Inc.","eUSB ORCA Quad Reader"
"VID_04e6","PID_0327","SCM Microsystems, Inc.","Digital Media Reader"
"VID_04e6","PID_03fe","SCM Microsystems, Inc.","DMHS2 DFU Adapter"
"VID_04e6","PID_0406","SCM Microsystems, Inc.","eUSB SmartDM Reader"
"VID_04e6","PID_04e6","SCM Microsystems, Inc.","eUSB DFU Adapter"
"VID_04e6","PID_04e7","SCM Microsystems, Inc.","STCII DFU Adapter"
"VID_04e6","PID_04e8","SCM Microsystems, Inc.","eUSBDM DFU Adapter"
"VID_04e6","PID_04e9","SCM Microsystems, Inc.","DM-E DFU Adapter"
"VID_04e6","PID_0500","SCM Microsystems, Inc.","Veridicom 5thSense Fingerprint Sensor and eUSB SmartCard"
"VID_04e6","PID_0701","SCM Microsystems, Inc.","DCS200 Loader Device"
"VID_04e6","PID_0702","SCM Microsystems, Inc.","DVD Creation Station 200"
"VID_04e6","PID_0703","SCM Microsystems, Inc.","DVC100 Loader Device"
"VID_04e6","PID_0704","SCM Microsystems, Inc.","Digital Video Creator 100"
"VID_04e6","PID_1001","SCM Microsystems, Inc.","SCR300 Smart Card Reader"
"VID_04e6","PID_1010","SCM Microsystems, Inc.","USBAT-2 CompactFlash Card Reader"
"VID_04e6","PID_1014","SCM Microsystems, Inc.","e-Film Reader-3"
"VID_04e6","PID_1020","SCM Microsystems, Inc.","USBAT ATA/ATAPI Adapter"
"VID_04e6","PID_2007","SCM Microsystems, Inc.","RSA SecurID ComboReader"
"VID_04e6","PID_2009","SCM Microsystems, Inc.","Citibank Smart Card Reader"
"VID_04e6","PID_200a","SCM Microsystems, Inc.","Reflex v.2 Smart Card Reader"
"VID_04e6","PID_200d","SCM Microsystems, Inc.","STR391 Reader"
"VID_04e6","PID_5111","SCM Microsystems, Inc.","SCR331-DI SmartCard Reader"
"VID_04e6","PID_5113","SCM Microsystems, Inc.","SCR333 SmartCard Reader"
"VID_04e6","PID_5114","SCM Microsystems, Inc.","SCR331-DI SmartCard Reader"
"VID_04e6","PID_5115","SCM Microsystems, Inc.","SCR335 SmartCard Reader"
"VID_04e6","PID_5116","SCM Microsystems, Inc.","SCR331-LC1 / SCR3310 SmartCard Reader"
"VID_04e6","PID_5117","SCM Microsystems, Inc.","SCR3320 - Smart Card Reader"
"VID_04e6","PID_5118","SCM Microsystems, Inc.","Expresscard SIM Card Reader"
"VID_04e6","PID_5119","SCM Microsystems, Inc.","SCR3340 - ExpressCard54 Smart Card Reader"
"VID_04e6","PID_511b","SCM Microsystems, Inc.","SmartCard Reader"
"VID_04e6","PID_511d","SCM Microsystems, Inc.","SCR3311 Smart Card Reader"
"VID_04e6","PID_5120","SCM Microsystems, Inc.","SCR331-DI SmartCard Reader"
"VID_04e6","PID_5121","SCM Microsystems, Inc.","SDI010 Smart Card Reader"
"VID_04e6","PID_5151","SCM Microsystems, Inc.","SCR338 Keyboard Smart Card Reader"
"VID_04e6","PID_5292","SCM Microsystems, Inc.","SCL011 RFID reader"
"VID_04e6","PID_5410","SCM Microsystems, Inc.","SCR35xx Smart Card Reader"
"VID_04e6","PID_e000","SCM Microsystems, Inc.","SCRx31 Reader"
"VID_04e6","PID_e001","SCM Microsystems, Inc.","SCR331 SmartCard Reader"
"VID_04e6","PID_e003","SCM Microsystems, Inc.","SPR532 PinPad SmartCard Reader"
"VID_04e7","","Elo TouchSystems",""
"VID_04e7","PID_0001","Elo TouchSystems","TouchScreen"
"VID_04e7","PID_0002","Elo TouchSystems","Touchmonitor Interface 2600 Rev 2"
"VID_04e7","PID_0004","Elo TouchSystems","4000U CarrollTouch.« Touchmonitor Interface"
"VID_04e7","PID_0007","Elo TouchSystems","2500U IntelliTouch.« Touchmonitor Interface"
"VID_04e7","PID_0008","Elo TouchSystems","3000U AccuTouch.« Touchmonitor Interface"
"VID_04e7","PID_0009","Elo TouchSystems","4000U CarrollTouch.« Touchmonitor Interface"
"VID_04e7","PID_0020","Elo TouchSystems","Touchscreen Interface (2700)"
"VID_04e7","PID_0021","Elo TouchSystems","Touchmonitor Interface"
"VID_04e7","PID_0030","Elo TouchSystems","4500U CarrollTouch.« Touchmonitor Interface"
"VID_04e7","PID_0032","Elo TouchSystems","Touchmonitor Interface"
"VID_04e7","PID_0033","Elo TouchSystems","Touchmonitor Interface"
"VID_04e7","PID_0041","Elo TouchSystems","5010 Surface Capacitive Touchmonitor Interface"
"VID_04e7","PID_0042","Elo TouchSystems","Touchmonitor Interface"
"VID_04e7","PID_0050","Elo TouchSystems","2216 AccuTouch.« Touchmonitor Interface"
"VID_04e7","PID_0071","Elo TouchSystems","Touchmonitor Interface"
"VID_04e7","PID_0072","Elo TouchSystems","Touchmonitor Interface"
"VID_04e7","PID_0081","Elo TouchSystems","Touchmonitor Interface"
"VID_04e7","PID_0082","Elo TouchSystems","Touchmonitor Interface"
"VID_04e7","PID_00ff","Elo TouchSystems","Touchmonitor Interface"
"VID_04e8","","Samsung Electronics Co., Ltd",""
"VID_04e8","PID_0100","Samsung Electronics Co., Ltd","Kingston Flash Drive (128MB)"
"VID_04e8","PID_0110","Samsung Electronics Co., Ltd","Connect3D Flash Drive"
"VID_04e8","PID_0111","Samsung Electronics Co., Ltd","Connect3D Flash Drive"
"VID_04e8","PID_0300","Samsung Electronics Co., Ltd","E2530 Phone (Mass storage mode)"
"VID_04e8","PID_1003","Samsung Electronics Co., Ltd","MP3 Player and Recorder"
"VID_04e8","PID_1006","Samsung Electronics Co., Ltd","SDC-200Z"
"VID_04e8","PID_130c","Samsung Electronics Co., Ltd","NX100"
"VID_04e8","PID_1f06","Samsung Electronics Co., Ltd","HX-MU064DA portable harddisk"
"VID_04e8","PID_2018","Samsung Electronics Co., Ltd","WIS09ABGN LinkStick Wireless LAN Adapter"
"VID_04e8","PID_2035","Samsung Electronics Co., Ltd","Digital Photo Frame Mass Storage"
"VID_04e8","PID_2036","Samsung Electronics Co., Ltd","Digital Photo Frame Mini Monitor"
"VID_04e8","PID_3004","Samsung Electronics Co., Ltd","ML-4600"
"VID_04e8","PID_3005","Samsung Electronics Co., Ltd","Docuprint P1210"
"VID_04e8","PID_3008","Samsung Electronics Co., Ltd","ML-6060 laser printer"
"VID_04e8","PID_300c","Samsung Electronics Co., Ltd","ML-1210 Printer"
"VID_04e8","PID_300e","Samsung Electronics Co., Ltd","Laser Printer"
"VID_04e8","PID_3104","Samsung Electronics Co., Ltd","ML-3550N"
"VID_04e8","PID_3210","Samsung Electronics Co., Ltd","ML-5200A Laser Printer"
"VID_04e8","PID_3226","Samsung Electronics Co., Ltd","Laser Printer"
"VID_04e8","PID_3228","Samsung Electronics Co., Ltd","Laser Printer"
"VID_04e8","PID_322a","Samsung Electronics Co., Ltd","Laser Printer"
"VID_04e8","PID_322c","Samsung Electronics Co., Ltd","Laser Printer"
"VID_04e8","PID_3230","Samsung Electronics Co., Ltd","ML-1440"
"VID_04e8","PID_3232","Samsung Electronics Co., Ltd","Laser Printer"
"VID_04e8","PID_3236","Samsung Electronics Co., Ltd","ML-1450"
"VID_04e8","PID_3238","Samsung Electronics Co., Ltd","ML-1430"
"VID_04e8","PID_323a","Samsung Electronics Co., Ltd","ML-1710 Printer"
"VID_04e8","PID_323b","Samsung Electronics Co., Ltd","Phaser 3130"
"VID_04e8","PID_323c","Samsung Electronics Co., Ltd","Laser Printer"
"VID_04e8","PID_323d","Samsung Electronics Co., Ltd","Phaser 3120"
"VID_04e8","PID_323e","Samsung Electronics Co., Ltd","Laser Printer"
"VID_04e8","PID_3240","Samsung Electronics Co., Ltd","Laser Printer"
"VID_04e8","PID_3242","Samsung Electronics Co., Ltd","ML-1510 Laser Printer"
"VID_04e8","PID_3248","Samsung Electronics Co., Ltd","Color Laser Printer"
"VID_04e8","PID_324a","Samsung Electronics Co., Ltd","Laser Printer"
"VID_04e8","PID_324c","Samsung Electronics Co., Ltd","ML-1740 Printer"
"VID_04e8","PID_324d","Samsung Electronics Co., Ltd","Phaser 3121"
"VID_04e8","PID_3256","Samsung Electronics Co., Ltd","ML-1520 Laser Printer"
"VID_04e8","PID_325b","Samsung Electronics Co., Ltd","Xerox Phaser 3117 Laser Printer"
"VID_04e8","PID_325f","Samsung Electronics Co., Ltd","Phaser 3425 Laser Printer"
"VID_04e8","PID_3260","Samsung Electronics Co., Ltd","CLP-510 Color Laser Printer"
"VID_04e8","PID_3268","Samsung Electronics Co., Ltd","ML-1610 Mono Laser Printer"
"VID_04e8","PID_326c","Samsung Electronics Co., Ltd","ML-2010P Mono Laser Printer"
"VID_04e8","PID_3276","Samsung Electronics Co., Ltd","ML-3050/ML-3051 Laser Printer"
"VID_04e8","PID_328e","Samsung Electronics Co., Ltd","CLP-310 Color Laser Printer"
"VID_04e8","PID_3292","Samsung Electronics Co., Ltd","ML-1640 Series Laser Printer"
"VID_04e8","PID_3296","Samsung Electronics Co., Ltd","ML-2580N Mono Laser Printer"
"VID_04e8","PID_3297","Samsung Electronics Co., Ltd","ML-191x/ML-252x Laser Printer"
"VID_04e8","PID_329f","Samsung Electronics Co., Ltd","CLP-325 Color Laser Printer"
"VID_04e8","PID_330c","Samsung Electronics Co., Ltd","ML-1865"
"VID_04e8","PID_3310","Samsung Electronics Co., Ltd","ML-331x Series Laser Printer"
"VID_04e8","PID_3315","Samsung Electronics Co., Ltd","ML-2540 Series Laser Printer"
